Orth,Phon
ioh4,ioh
ioh8,io̍h
iuh4,iuh
iuh8,iu̍h
iauh4,iauh
iauh8,ia̍uh
annh4,annh
annh8,a̍nnh
ennh4,ennh
ennh8,e̍nnh
innh4,innh
innh8,i̍nnh
iok4,iok
iok8,io̍k
iap4,iap
iap8,ia̍p
iat4,iat
iat8,ia̍t
iak4,iak
iak8,ia̍k
uat4,uat
uat8,ua̍t
uinn1,uinn
uinn2,uínn
uinn3,uìnn
uinnh4,uinnh
uinn5,uînn
uinn6,uǐnn
uinn7,uīnn
uinnh8,ui̍nnh
uinn9,ui̋nn
ionn1,ionn
ionn2,iónn
ionn3,iònn
ionnh4,ionnh
ionn5,iônn
ionn6,iǒnn
ionn7,iōnn
ionnh8,io̍nnh
ionn9,iőnn
uih4,uih
uih8,ui̍h
m1,m
m2,ḿ
m3,m̀
m5,m̂
m6,m̌
m7,m̄
m9,m̋
ng1,ng
ng2,ńg
ng3,ǹg
ng5,n̂g
ng6,ňg
ng7,n̄g
ng9,n̋g
